"Codice fiscale
Steuernummer";"Repertorio
Repertoire";"Denominazione 
Bezeichnung";"Sezione (**)
Sektion";"Cognome Legale rapp.
Nachname Ges. Vertreter";"Nome Legale rapp.
Vorname Ges. Vertreter";"Rete 
Netzwerk";"Comune Sede legale
Gemeinsame Rechtssitz";"Provincia Sede legale
Provinz Rechtssitz";" 5x
1000";"Data Iscrizione
Anmeldedatum"
97817660588;114346;009-MISSIONE SORRISI  VIVIAMO IN POSITIVO - LATINA ODV;ORGANIZZAZIONI DI VOLONTARIATO;PEZONE;CONSUELO;No;LATINA;LT;Si;07/11/2022
94235690487;119059;0-0 FIRENZE 5 ONLUS ODV;ORGANIZZAZIONI DI VOLONTARIATO;ARBO;LARA;No;FIRENZE;FI;No;07/11/2022
90095090578;121925;02022 M & C - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CASSONI;FABRIZIO;No;COLLALTO SABINO;RI;No;24/07/2025
92019520235;64872;029 GRUPPO VOLONTARIATO ANC DI SAN GIOVANNI ILARIONE (VR) ODV;ORGANIZZAZIONI DI VOLONTARIATO;DAL ZOVO;ANTONIO;No;SAN GIOVANNI ILARIONE;VR;No;04/11/2022
90018640236;53740;052^ GRUPPO DI VOLONTARIATO DI BARDOLINO 'LAGO DI GARDA' DELL'ASSOCIAZIONE NAZIONALE CARABINIERI;ORGANIZZAZIONI DI VOLONTARIATO;ZANTEDESCHI;GIUSEPPE;No;BARDOLINO;VR;No;10/10/2022
94080010278;61980;058 GRUPPO DI VOLONTARIATO ANC VENEZIA ODV;ORGANIZZAZIONI DI VOLONTARIATO;PALMERINI;AMATO;No;VENEZIA;VE;No;28/10/2022
02414020392;58751;05QUARTOATTO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;BELLONI;LORENZO;No;RAVENNA;RA;Si;24/10/2022
96043940632;148964;081 STAND FOR NAPLES ODV;ORGANIZZAZIONI DI VOLONTARIATO;LOBINA;UMBERTO;No;NAPOLI;NA;Si;30/04/2025
94019910242;62003;094^ NUCLEO DI VOLONTARIATO E DI PROTEZIONE CIVILE ANC - O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;SBABO;MIRCO;No;VALLI DEL PASUBIO;VI;Si;28/10/2022
92022850652;158976;0975 EVENTS ETS;ALTRI ENTI DEL TERZO SETTORE;CARDIELLO;CARLO;No;SAN PIETRO AL TANAGRO;SA;No;29/01/2026
96628190587;156427;0-99 TORRE MAURA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SBARDELLA;MASSIMO;No;ROMA;RM;No;07/08/2025
91429690372;36373;0CINQUANTUNO-APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DI BARTOLOMEO;FILOMENA;No;ARGELATO;BO;Si;17/06/2022
97598390587;75497;0.d.V.-Gruppo di Volontariato e Protezione Civile dell'Associazione Nazionale Polizia di Stato- Pomezia;ORGANIZZAZIONI DI VOLONTARIATO;LAURO;GIOVANNI;No;POMEZIA;RM;Si;07/11/2022
92039250904;106241;0RGANIZZAZIONE DI VOLONTARIATO POLISOCCORSO ALGHERO;ORGANIZZAZIONI DI VOLONTARIATO;DOPPIU;PAOLA;No;ALGHERO;SS;Si;15/03/2023
97869540019;29893;0.U.C. OLTRE LE USTIONI E LE CICATRICI ODV;ORGANIZZAZIONI DI VOLONTARIATO;ARDONE;GIACOMO;No;TORINO;TO;Si;27/05/2022
05220370877;82478;"""0 - ZERO"" SOCIETA' A RESPONSABILITA' LIMITATA IMPRESA SOCIALE";IMPRESE SOCIALI;IURATO;GIANLUCA;No;CALTAGIRONE;CT;No;28/11/2022
97918070588;102175;100.000 RIPARTENZE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PALLAS;FIORELLA;No;TREVISO;TV;Si;17/02/2023
03842350161;17610;1000 NOTE PER EDUCARE SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;GRAZIOLI;MARIANNA;No;FARA GERA D'ADDA;BG;Si;21/03/2022
90031750178;128380;100CODINE - ORGANIZZAZIONE DI VOLONTARIATO;ORGANIZZAZIONI DI VOLONTARIATO;SECHI;GIULIA;No;DARFO BOARIO TERME;BS;Si;19/02/2024
91447560375;51176;100 DEL DONO - ODV;ORGANIZZAZIONI DI VOLONTARIATO;POZZANA;GIOVANNI;No;BOLOGNA;BO;Si;04/01/2023
95242510105;149151;100DONNEVESTITEDIROSSO ODV;ORGANIZZAZIONI DI VOLONTARIATO;COTTA RAMUSINO;ALESSIA;No;GENOVA;GE;Si;13/10/2025
